username,trust_score_pcc,trust_score_pr,trust_score,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,scam,age,gender,location,ethnicity,occupation,marital_status,children,religion,sexual_orientation,sex,description,age_bin,description_set,description_stem,description_stem_set
jinglesmar,0.00018946671822087677,0.0008609078698730337,0.0005251872940469553,16351.0,16351.0,16351.0,0.0,40.0,female,"maracay, aragua, venezuela",hispanic,administradora,single,1-2 living with me,christian,straight,female,,41-50,,,
armandodj,0.0004313259082652127,0.0006131254294526767,0.0005222256688589447,44182.0,44183.0,44183.0,0.0,38.0,male,"guatemala city, guatemala",hispanic,dj,single,no children,spiritual,straight,male,,31-40,,,
jhonnydiaz,0.000561489636200076,0.00047117486379507056,0.0005163322499975733,6338.0,6338.0,6338.0,0.0,47.0,male,"bucaramanga, santander, colombia",hispanic,enfermero licenciado.. cahumatologo,divorced,1-2 living elsewhere,christian,straight,male,,41-50,,,
yuri67,6.160552056148658e-06,0.001025684125776809,0.0005159223389164788,533.0,533.0,533.0,0.0,56.0,male,"cancun, q.r., mexico",hispanic,,single,1-2 living elsewhere,other,straight,male,,51-60,,,
angel_sol,6.160552056148658e-06,0.001025684125776809,0.0005159223389164788,9983.0,9983.0,9983.0,0.0,22.0,female,"ciudad de mexico, cdmx, mexico",hispanic,,single,no children,christian,straight,female,,21-30,,,
jamesd23,0.0005417120072178419,0.0004851777402878909,0.0005134448737528663,31965.0,31965.0,31965.0,0.0,61.0,male,"athens, greece",white,,single,no children,christian,straight,male,,61-70,,,
michelled,0.0007299250097831766,0.000288256506726152,0.0005090907582546644,26777.0,26777.0,26777.0,0.0,55.0,female,"homestead, fl, usa",white,agriculture,divorced,no children,atheist,straight,female,,51-60,,,
nanita2017,0.0005454197350986873,0.0004695982068740631,0.0005075089709863752,30389.0,30389.0,30389.0,0.0,48.0,female,"defensa 850, caba, argentina",hispanic,coach ontologico profesional,divorced,1-2 living with me,spiritual,straight,female,,41-50,,,
jimmyg,0.000488439626437829,0.0005194036205731986,0.0005039216235055138,39336.0,39337.0,39337.0,0.0,60.0,male,"gallatin, tn 37066, usa",white,"realtor, photographer, musician",divorced,1-2 living elsewhere,christian,straight,male,"i’m a very strong and passionate artist and i express myself through music, photography, and romantic prose. i can be a little eccentric at times, often in very humorous ways! i enjoy playful teasing, romance and sensuality. i’m a gentleman who will open your door for you, but will also delight in giving you incredible intimate and naughty sex and fulfill your desires, within a faithful and monogamous relationship. i love travel and adventure, and i have many locations around the world on my list to experience. are you ready for me...?
i have a heart for rescuing horses that have been abused, abandoned, and/or starved. while they are very dangerous when i first get them, (because they see humans as enemies at this point), i am very strong and patient with them, showing them a lot of love, while teaching them good discipline. when i am done rehabilitating them, they are put up for adoption, and they make wonderful companions.",61-70,"{'teasing', 'naughty', 'within', 'starved', 'little', 'adventure', 'times', 'many', 'teaching', 'travel', 'often', 'love', 'faithful', 'see', 'sex', 'abandoned', 'companions', 'relationship', 'point', 'delight', 'strong', 'get', 'good', 'intimate', 'andor', 'enjoy', 'enemies', 'lot', 'ready', 'horses', 'patient', 'first', 'adoption', 'open', 'rehabilitating', 'locations', 'music', 'list', 'prose', 'desires', 'romance', 'rescuing', 'eccentric', 'showing', 'make', 'discipline', 'photography', 'romantic', 'express', 'fulfill', 'playful', 'sensuality', 'heart', 'artist', 'gentleman', 'incredible', 'ways', 'experience', 'put', 'wonderful', 'door', 'humorous', 'monogamous', 'around', 'also', 'abused', 'done', 'humans', 'world', 'giving', 'dangerous', 'passionate'}",strong passion artist express music photographi romant prose littl eccentr time often humor way enjoy play teas romanc sensual gentleman open door also delight give incred intim naughti sex fulfil desir within faith monogam relationship love travel adventur mani locat around world list experi readi heart rescu hors abus abandon andor starv danger first get see human enemi point strong patient show lot love teach good disciplin done rehabilit put adopt make wonder companion,"{'enemi', 'wonder', 'intim', 'human', 'rescu', 'companion', 'travel', 'often', 'time', 'love', 'faith', 'mani', 'see', 'sex', 'romanc', 'eccentr', 'relationship', 'done', 'point', 'delight', 'strong', 'get', 'good', 'andor', 'incred', 'enjoy', 'lot', 'patient', 'romant', 'give', 'first', 'disciplin', 'open', 'passion', 'photographi', 'locat', 'list', 'music', 'experi', 'way', 'prose', 'starv', 'show', 'littl', 'fulfil', 'make', 'adopt', 'express', 'adventur', 'teach', 'heart', 'artist', 'gentleman', 'rehabilit', 'put', 'humor', 'teas', 'door', 'desir', 'monogam', 'around', 'also', 'abus', 'readi', 'naughti', 'hors', 'abandon', 'sensual', 'play', 'world', 'danger', 'within'}"
zucmac,0.0003084003203062098,0.0006926745663275076,0.0005005374433168587,39610.0,39611.0,39611.0,0.0,55.0,male,"chambery, france",white,computer programs,single,1-2 living elsewhere,christian,straight,male,"serious man look for a relationship of complicity and tenderness.
i like to meet a person wanting to travel and make nice week-ends.
i have many things to offer that will find in me the person it seeks.
the loyalty and trust are the qualities i look for in a woman.",51-60,"{'nice', 'complicity', 'look', 'trust', 'many', 'travel', 'meet', 'qualities', 'woman', 'relationship', 'serious', 'man', 'things', 'wanting', 'person', 'like', 'weekends', 'seeks', 'offer', 'make', 'tenderness', 'find', 'loyalty'}",seriou man look relationship complic tender like meet person want travel make nice weekend mani thing offer find person seek loyalti trust qualiti look woman,"{'nice', 'look', 'qualiti', 'seriou', 'trust', 'travel', 'meet', 'woman', 'mani', 'seek', 'relationship', 'want', 'man', 'tender', 'person', 'thing', 'complic', 'like', 'make', 'offer', 'weekend', 'find', 'loyalti'}"
cristinar23,0.00032278821247277143,0.0006676985358070055,0.0004952433741398885,29470.0,29470.0,29470.0,0.0,31.0,female,"quito, ecuador",hispanic,,single,1-2 living with me,other,straight,female,,31-40,,,
dayanamorales,0.0006357195819306715,0.00034740205225528605,0.0004915608170929788,46364.0,46365.0,46365.0,0.0,37.0,female,"quito, ecuador",hispanic,tecnica de unas,single,1-2 living with me,christian,straight,female,,31-40,,,
marioo,0.00043681527227975995,0.0005438665072414829,0.0004903408897606214,40631.0,40632.0,40632.0,0.0,71.0,male,"chemnitz, germany",white,,separated,1-2 living elsewhere,atheist,straight,male,,71-80,,,
nicol12,0.00021750913910973687,0.0007600508906996928,0.0004887800149047148,2680.0,2680.0,2680.0,0.0,29.0,female,"cali, valle del cauca, colombia",hispanic,,single,1-2 living with me,christian,straight,female,,21-30,,,
pauln23,0.0006433356467930327,0.0003327881764605591,0.0004880619116267959,28623.0,28623.0,28623.0,0.0,65.0,male,"lockhart, tx 78644, usa",mixed,,divorced,more than 2 living elsewhere,spiritual,straight,male,,61-70,,,
jesse,0.00020474446311600467,0.0007674398615224202,0.00048609216231921247,34023.0,34024.0,34024.0,0.0,51.0,female,"brantford, on, canada",white,,separated,more than 2 living with me,christian,straight,female,,51-60,,,
jesse,0.00020474446311600467,0.0007674398615224202,0.00048609216231921247,54615.0,54640.0,1157.0,1.0,51.0,male,"los angeles, california, united states",white,self employed,widowed,,,,male,"loving, god fearing, humble, reliable,great lover, caring and motivator to the younger ones. i give my best to make all people happy. i make way where it seems no way through words of motivation. i am gentle and trustworthy.
message:
hello, how are you doing today? i found your profile attractive and i feel so privilege for getting in touch with you. i would like to know more about you. i am looking for a female to correspondent who is understanding, and also well respectively fully oriented. i will be so glad and happy to hear back from you.
",51-60,"{'best', 'happy', 'hello', 'profile', 'great', 'caring', 'humble', 'would', 'ones', 'correspondent', 'gentle', 'feel', 'privilege', 'looking', 'seems', 'female', 'attractive', 'younger', 'glad', 'trustworthy', 'god', 'reliable', 'touch', 'found', 'give', 'respectively', 'know', 'fully', 'hear', 'oriented', 'way', 'like', 'well', 'make', 'lover', 'fearing', 'back', 'motivator', 'understanding', 'getting', 'people', 'also', 'message', 'today', 'loving', 'motivation', 'words'}",love god fear humbl reliabl great lover care motiv younger one give best make peopl happi make way seem way word motiv gentl trustworthi messag hello today found profil attract feel privileg get touch would like know look femal correspond understand also well respect fulli orient glad happi hear back,"{'best', 'trustworthi', 'hello', 'fulli', 'profil', 'orient', 'gentl', 'look', 'understand', 'great', 'happi', 'would', 'feel', 'love', 'seem', 'privileg', 'one', 'respect', 'get', 'younger', 'glad', 'fear', 'god', 'touch', 'found', 'give', 'know', 'femal', 'hear', 'way', 'motiv', 'like', 'well', 'make', 'lover', 'back', 'humbl', 'word', 'correspond', 'reliabl', 'care', 'peopl', 'messag', 'also', 'today', 'attract'}"
lupitaa,0.0004026760350039057,0.0005690679525471424,0.00048587199377552403,31476.0,31476.0,31476.0,0.0,49.0,female,"mexico city, federal district, mexico",hispanic,,divorced,no children,christian,straight,female,,41-50,,,
ruppert13,0.0008093936646093367,0.00016228290852888497,0.00048583828656911083,41505.0,41506.0,41506.0,0.0,40.0,male,"mesa, az, usa",white,volunteer,single,no children,christian,straight,male,"i am looking for a friendship, which can develop into a romantic relationship. i enjoy comedy, concerts, dancing, watching sports and dining out. let's hang out and find if we have any chemistry.",41-50,"{'find', 'chemistry', 'concerts', 'watching', 'looking', 'let', 'sports', 'relationship', 'hang', 'dancing', 'dining', 'friendship', 'enjoy', 'comedy', 'romantic', 'develop', 's'}",look friendship develop romant relationship enjoy comedi concert danc watch sport dine let s hang find chemistri,"{'watch', 'romant', 'sport', 'danc', 'find', 'dine', 'chemistri', 'relationship', 's', 'hang', 'concert', 'look', 'friendship', 'enjoy', 'let', 'develop', 'comedi'}"
matetd,0.0003881171202985237,0.0005791902656898074,0.00048365369299416554,41518.0,41519.0,41519.0,0.0,52.0,female,"manila, metro manila, philippines",asian,,single,no children,christian,straight,female,,51-60,,,
russianlove,0.0007144283776079106,0.0002470728560631022,0.0004807506168355064,2325.0,2325.0,2325.0,0.0,62.0,female,"tashkent, uzbekistan",white,teacher,divorced,no children,christian,straight,female,,61-70,,,
eliza32232,0.0008395210444269691,0.00012157759904797785,0.0004805493217374735,13118.0,13118.0,13118.0,0.0,63.0,female,"dallas, tx, usa",white,retired,widowed,no children,christian,straight,female,"i am an independent woman who is okay being single but knows how much better life can be when it's shared with someone special. i am lovely, sincere, fun to be around, passionate/sensual and uninhibited with the right man.",61-70,"{'life', 'okay', 'woman', 'fun', 'knows', 'man', 'sincere', 's', 'right', 'passionatesensual', 'uninhibited', 'single', 'lovely', 'much', 'around', 'better', 'shared', 'someone', 'special', 'independent'}",independ woman okay singl know much better life s share someon special love sincer fun around passionatesensu uninhibit right man,"{'life', 'okay', 'someon', 'love', 'woman', 'fun', 'man', 's', 'right', 'know', 'share', 'uninhibit', 'sincer', 'independ', 'singl', 'passionatesensu', 'much', 'around', 'better', 'special'}"
ech,0.0008395210444269691,0.00012157759904797785,0.0004805493217374735,3154.0,3154.0,3154.0,0.0,35.0,female,"lara, venezuela",hispanic,abogado,single,no children,christian,straight,female,,31-40,,,
beatrizp,0.0008395210444269691,0.00012157759904797785,0.0004805493217374735,25393.0,25393.0,25393.0,0.0,61.0,female,"cali, valle del cauca, colombia",black,,single,no children,christian,straight,female,,61-70,,,
odennys,0.0008395210444269691,0.00012157759904797785,0.0004805493217374735,1261.0,1261.0,1261.0,0.0,52.0,female,"las tunas, cuba",mixed,ama de casa,divorced,no children,christian,straight,female,,51-60,,,
graced2,0.0008395210444269691,0.00012157759904797785,0.0004805493217374735,13494.0,13494.0,13494.0,0.0,58.0,female,"stuart, fl, usa",mixed,,divorced,no children,christian,straight,female,,51-60,,,
alejandra1975,0.0008395210444269691,0.00012157759904797785,0.0004805493217374735,24540.0,24540.0,24540.0,0.0,47.0,female,"girardot, cundinamarca, colombia",hispanic,aux,separated,1-2 living with me,spiritual,straight,female,,41-50,,,
eunice929,0.00015936958163079322,0.000801608598368635,0.00048048908999971413,17024.0,17024.0,17024.0,0.0,44.0,female,hong kong,asian,education,single,no children,other,straight,female,,41-50,,,
zakie,0.0002752264501157509,0.000679511043189978,0.00047736874665286447,9980.0,9980.0,9980.0,0.0,38.0,female,"calgary, ab, canada",asian,,separated,1-2 living elsewhere,christian,straight,female,,31-40,,,
filbeauty,0.0007752937937392732,0.00017458944585390342,0.00047494161979658834,26996.0,26996.0,26996.0,0.0,52.0,female,singapore,asian,qa executive,single,1-2 living with me,christian,straight,female,"friends and family would describe me as : 

simple yet have a beautiful heart, 
funny and have a great sense of humor but is serious in terms of job, relationship and responsiblity in life, 
strong and determined woman yet have a soft heart for everyone, 
intelligent but can be stupid sometimes. 

i am open to getting to know everyone and build friendship or maybe more, well we dont know. lets see..",51-60,"{'yet', 'sometimes', 'maybe', 'simple', 'lets', 'life', 'friends', 'great', 'would', 'job', 'responsiblity', 'intelligent', 'woman', 'build', 'see', 'relationship', 'serious', 'strong', 'sense', 'soft', 'describe', 'family', 'know', 'open', 'stupid', 'well', 'friendship', 'terms', 'dont', 'heart', 'everyone', 'getting', 'humor', 'determined', 'funny', 'beautiful'}",friend famili would describ simpl yet beauti heart funni great sens humor seriou term job relationship responsibl life strong determin woman yet soft heart everyon intellig stupid sometim open get know everyon build friendship mayb well dont know let see,"{'friend', 'everyon', 'yet', 'life', 'seriou', 'great', 'sens', 'would', 'job', 'woman', 'see', 'relationship', 'responsibl', 'strong', 'get', 'simpl', 'sometim', 'funni', 'soft', 'intellig', 'know', 'open', 'stupid', 'well', 'friendship', 'term', 'beauti', 'dont', 'famili', 'heart', 'determin', 'humor', 'describ', 'mayb', 'let', 'build'}"
janes,0.0005181504147045135,0.00042965820738085427,0.00047390431104268383,44051.0,44052.0,44052.0,0.0,31.0,female,"dar es salaam, tanzania",black,,single,no children,christian,straight,female,,31-40,,,
ivan1975,0.00016438210518265732,0.0007815401122375096,0.00047296110871008346,21021.0,21021.0,21021.0,0.0,47.0,male,"florencio varela, buenos aires province, argentina",white,,single,no children,other,straight,male,"love photography, coffe, nature, travel",41-50,"{'coffe', 'travel', 'nature', 'photography', 'love'}",love photographi coff natur travel,"{'natur', 'coff', 'photographi', 'travel', 'love'}"
dmpl2271,0.00045762325758042703,0.0004853279468793397,0.0004714756022298834,44467.0,44468.0,44468.0,0.0,52.0,female,"santo domingo, dominican republic",hispanic,licda: educacion basica,single,more than 2 living with me,other,straight,female,,51-60,,,
aeosopatin1977,0.00043940601060625534,0.0005029574684718656,0.0004711817395390605,31726.0,31726.0,31726.0,0.0,46.0,female,"medellin, antioquia, colombia",hispanic,asistencia,separated,1-2 living with me,christian,straight,female,,41-50,,,
lilyd,0.00022229326748686136,0.0007183312908140812,0.00047031227915047126,14878.0,14878.0,14878.0,0.0,38.0,female,"caracas, capital district, venezuela",hispanic,,single,no children,christian,straight,female,,31-40,,,
geoconda,0.0006825279560309596,0.00025485684781449626,0.00046869240192272795,15398.0,15398.0,15398.0,0.0,56.0,female,"guayaquil, ecuador",mixed,maestra artesanal en la rama de belleza,widowed,more than 2 living with me,christian,straight,female,,51-60,,,
mirest,0.00017026305860475918,0.0007625027095604949,0.00046638288408262703,3053.0,3053.0,3053.0,0.0,42.0,female,"tegucigalpa, honduras",hispanic,lic. comercio internacional,separated,1-2 living with me,christian,straight,female,,41-50,,,
williama23,0.0001274249415495207,0.000802180288767463,0.0004648026151584918,24393.0,24393.0,24393.0,0.0,50.0,male,"tachira, venezuela",hispanic,,single,no children,christian,straight,male,,51-60,,,
guinnesspete,0.0005818835629779783,0.00034749649309211524,0.00046469002803504675,26101.0,26101.0,26101.0,0.0,73.0,male,"ledbury hr8, uk",white,self- employed,separated,1-2 living elsewhere,christian,straight,male,"i have a full head of grey hair and matching well trimmed grey beard, but that is far as grey goes with me - i am not ready for the cardigan and slippers brigade yet. i enjoy life and try to live it to the full. like nights out with good company and visiting different places - movies, restaurant, theatre and sight seeing - but am also happy with a quiet night in with a glass of wine, cheese and biscuits and watching a film on television. i like to travel and would love to share the experience with another 'half' i enjoy my garden and living on my own am fairly domesticated and yes i can cook proper food and even iron my shirts so they do not look as if i have slept in them for a week",71-80,"{'happy', 'yet', 'watching', 'domesticated', 'shirts', 'half', 'cook', 'life', 'look', 'grey', 'different', 'visiting', 'nights', 'full', 'travel', 'would', 'places', 'love', 'living', 'cheese', 'brigade', 'biscuits', 'even', 'wine', 'fairly', 'cardigan', 'slippers', 'seeing', 'film', 'quiet', 'glass', 'good', 'food', 'enjoy', 'ready', 'matching', 'television', 'live', 'iron', 'slept', 'movies', 'share', 'proper', 'like', 'well', 'sight', 'company', 'night', 'try', 'restaurant', 'garden', 'experience', 'week', 'yes', 'theatre', 'head', 'also', 'beard', 'hair', 'another', 'far', 'trimmed', 'goes'}",full head grey hair match well trim grey beard far grey goe readi cardigan slipper brigad yet enjoy life tri live full like night good compani visit differ place movi restaur theatr sight see also happi quiet night glass wine chees biscuit watch film televis like travel would love share experi anoth half enjoy garden live fairli domest ye cook proper food even iron shirt look slept week,"{'yet', 'half', 'cook', 'life', 'look', 'grey', 'match', 'biscuit', 'happi', 'brigad', 'trim', 'full', 'compani', 'travel', 'would', 'love', 'see', 'even', 'chees', 'wine', 'cardigan', 'film', 'place', 'movi', 'quiet', 'glass', 'good', 'food', 'enjoy', 'differ', 'visit', 'ye', 'live', 'iron', 'slept', 'share', 'experi', 'proper', 'like', 'televis', 'shirt', 'well', 'sight', 'slipper', 'night', 'tri', 'watch', 'anoth', 'restaur', 'garden', 'domest', 'week', 'fairli', 'head', 'also', 'beard', 'hair', 'readi', 'far', 'goe', 'theatr'}"
toninors,0.0003398640137070773,0.0005861277495042419,0.0004629958816056596,14719.0,14719.0,14719.0,0.0,61.0,male,"12530 burriana, castellon, espana",white,,divorced,1-2 living elsewhere,atheist,straight,male,,61-70,,,
irmaeli,9.899779156073059e-05,0.0008242546430802019,0.00046162621732046623,16268.0,16268.0,16268.0,0.0,39.0,female,"quito, ecuador",mixed,ingeniera civil,single,want children,other,straight,female,,31-40,,,
mamashoo,0.0005213416714354101,0.0004011458120902055,0.0004612437417628078,40444.0,40445.0,40445.0,0.0,39.0,female,"nairobi, kenya",black,sales,single,1-2 living with me,christian,straight,female,"am a kenyan lady who is open minded caring loving honest reliable humble down to earth and family oriented person. 
friendship first, looking to have more when the time and person is right....but how do you know without trying or giving yourself a chance?? am ready to start again....looking for that fairy tale for me with someone who will look at my picture and want to get to know the real me.....",31-40,"{'lady', 'minded', 'kenyan', 'look', 'caring', 'humble', 'time', 'trying', 'looking', 'without', 'get', 'want', 'real', 'picture', 'family', 'reliable', 'ready', 'tale', 'first', 'right', 'know', 'open', 'person', 'oriented', 'chance', 'earth', 'friendship', 'start', 'someone', 'fairy', 'loving', 'giving', 'honest'}",kenyan ladi open mind care love honest reliabl humbl earth famili orient person friendship first look time person right know without tri give chanc readi start look fairi tale someon look pictur want get know real,"{'kenyan', 'chanc', 'orient', 'look', 'mind', 'someon', 'time', 'love', 'without', 'fairi', 'ladi', 'pictur', 'want', 'get', 'real', 'first', 'give', 'right', 'know', 'open', 'person', 'earth', 'friendship', 'tri', 'humbl', 'famili', 'reliabl', 'care', 'start', 'readi', 'tale', 'honest'}"
luisj2,0.0004756429361268583,0.00044023962436185376,0.00045794128024435605,26560.0,26560.0,26560.0,0.0,58.0,male,"distrito de lima, peru",hispanic,,single,no children,christian,straight,male,,51-60,,,
vivoluv,7.897742207931601e-05,0.0008341242640755505,0.00045655084307743324,13374.0,13374.0,13374.0,0.0,65.0,male,singapore,asian,tutor,divorced,don't want children,christian,straight,male,"hopelessly romantic. i wish you health and happiness. i value a good heart more than a pretty face. live a happy and meaningful life every day with a grateful heart. the connotation of beauty is good temper.true love is having feelings and communicating with each other, sharing love. looking forward to each other's company. it's good to be young at heart. gentle, caring, patient, loving. no bad habits, smoking, excessive drinking, playing cards. i stay in shape. a woman who loves to cook loves her man ❤️

hobbies
reading, music, internet, travelling, cooking",61-70,"{'happy', 'loves', 'cook', 'day', 'life', 'grateful', 'caring', 'bad', 'excessive', 'feelings', 'gentle', 'reading', 'love', 'woman', 'habits', 'value', 'looking', 'sharing', 'drinking', 'wish', 'hobbies', 'meaningful', 'health', 'young', 'man', 'forward', 'happiness', 'good', 'beauty', 'stay', 's', 'patient', 'tempertrue', 'live', 'smoking', 'playing', 'pretty', 'music', 'cards', 'face', 'romantic', 'company', 'travelling', 'hopelessly', 'heart', 'every', 'communicating', 'connotation', 'cooking', 'internet', 'shape', 'loving'}",hopelessli romant wish health happi valu good heart pretti face live happi meaning life everi day grate heart connot beauti good tempertru love feel commun share love look forward s compani s good young heart gentl care patient love bad habit smoke excess drink play card stay shape woman love cook love man hobbi read music internet travel cook,"{'cook', 'day', 'life', 'connot', 'look', 'gentl', 'pretti', 'bad', 'happi', 'compani', 'travel', 'feel', 'love', 'card', 'meaning', 'woman', 'smoke', 'wish', 'young', 'health', 'drink', 'man', 'hobbi', 'forward', 'good', 'stay', 's', 'patient', 'romant', 'live', 'commun', 'share', 'everi', 'music', 'tempertru', 'face', 'beauti', 'grate', 'read', 'heart', 'habit', 'excess', 'care', 'hopelessli', 'internet', 'shape', 'valu', 'play'}"
marialour,0.0002918841049576078,0.0006181271611296911,0.0004550056330436494,169.0,169.0,169.0,0.0,48.0,female,"valencia, carabobo, venezuela",white,tecnico,single,no children,christian,straight,female,,41-50,,,
anthonyroseinc,0.0003646253834971655,0.0005392126018700293,0.00045191899268359737,9185.0,9185.0,9185.0,0.0,59.0,male,"london, uk",white,director at rose inc pty,divorced,1-2 living elsewhere,spiritual,straight,male,fun funny energetic caring engaging handsome clever hardworking tidy person who was at the bbc sony europe for many years before starting my own company because of all of the above. have always and always will play sports and do everything fun and share my time with the right woman with romance love and loads of affection.,51-60,"{'always', 'caring', 'many', 'time', 'love', 'woman', 'starting', 'fun', 'everything', 'affection', 'europe', 'energetic', 'loads', 'right', 'sports', 'share', 'person', 'bbc', 'clever', 'romance', 'engaging', 'company', 'sony', 'handsome', 'years', 'hardworking', 'play', 'tidy', 'funny'}",fun funni energet care engag handsom clever hardwork tidi person bbc soni europ mani year start compani alway alway play sport everyth fun share time right woman romanc love load affect,"{'handsom', 'soni', 'hardwork', 'tidi', 'alway', 'compani', 'everyth', 'time', 'love', 'europ', 'woman', 'mani', 'sport', 'romanc', 'fun', 'funni', 'year', 'energet', 'right', 'share', 'person', 'affect', 'bbc', 'clever', 'load', 'engag', 'care', 'start', 'play'}"
sylvester,7.279726160050313e-05,0.0008308167741656444,0.00045180701788307374,24.0,24.0,24.0,0.0,39.0,male,"san fernando, trinidad and tobago",mixed,,single,want children,christian,straight,male,"let's see i've got two eyes, two ears, a nose, a mouth and a big, big heart... :)",31-40,"{'eyes', 'see', 've', 'big', 'two', 'heart', 'nose', 'mouth', 'ears', 'let', 's', 'got'}",let s see ve got two eye two ear nose mouth big big heart,"{'see', 've', 'big', 'two', 'heart', 'eye', 'nose', 'mouth', 'ear', 'let', 's', 'got'}"
dnorris1978,0.00036717812402335123,0.0005355954142986218,0.00045138676916098655,35811.0,35812.0,35812.0,0.0,45.0,male,"lakeland, fl, usa",white,,single,1-2 living with me,christian,straight,male,,41-50,,,
lapastayab,0.0001729851663359955,0.0007280633257468721,0.0004505242460414338,21037.0,21037.0,21037.0,0.0,42.0,female,"bangkok, thailand",asian,,single,no children,buddhist,straight,female,,41-50,,,
baki1957,0.0005080058544789556,0.0003915778322659965,0.0004497918433724761,20819.0,20819.0,20819.0,0.0,66.0,male,"smederevo, serbia",white,akontant,separated,want children,christian,straight,male,,61-70,,,
jossead,0.0004669078980030163,0.0004324133771267096,0.00044966063756486294,36868.0,36869.0,36869.0,0.0,67.0,male,"guadalajara, espana",white,retired,single,don't want children,atheist,straight,male,,61-70,,,
guada,0.0003888769152317979,0.0005056607149956203,0.00044726881511370913,31390.0,31390.0,31390.0,0.0,54.0,female,"la habana, cuba",white,oficinista,separated,1-2 living with me,atheist,straight,female,,51-60,,,
cod1964,0.00027287884772941986,0.0006215264000167639,0.0004472026238730919,21804.0,21804.0,21804.0,0.0,59.0,male,"fort st john, bc, canada",white,mechanic,separated,1-2 living with me,other,straight,male,"single father to my 5 year old son, i enjoy the out doors, camping , fishing, sitting by a campfire. i like swimming, and going out to dinner. im not a barfly, no bar scene for me, but maybe to a pub once in a while for a game of pool",51-60,"{'pub', 'maybe', 'im', 'campfire', 'sitting', 'father', 'bar', 'scene', '5', 'game', 'fishing', 'enjoy', 'pool', 'year', 'swimming', 'dinner', 'going', 'barfly', 'like', 'son', 'single', 'old', 'camping', 'doors'}",singl father 5 year old son enjoy door camp fish sit campfir like swim go dinner im barfli bar scene mayb pub game pool,"{'swim', 'pub', 'im', 'father', 'bar', 'scene', '5', 'game', 'enjoy', 'pool', 'year', 'dinner', 'campfir', 'like', 'fish', 'son', 'old', 'camp', 'go', 'singl', 'sit', 'door', 'mayb', 'barfli'}"
nathan54,0.00028629485575697617,0.0006076606310009123,0.0004469777433789442,41993.0,41994.0,41994.0,0.0,61.0,male,"columbus, in, usa",white,"disable,but still enjoy doing what i love doing.",single,1-2 living with me,christian,straight,male,"am simple man with two son one living with temp,
have 6 grandkids who i love very much
love the outdoors camping,canoeing,and other outdoors actives.
want share life with someone to enjoy together life to short for games.
very serious looking for someone to share life with...
my son only stayin with me until he get on his feet again separted from his wife ...he won't be here with me to long.",61-70,"{'actives', 'long', 'games', 'life', 'wo', 'living', 'love', 'together', 'looking', 'one', 'outdoors', 'serious', 'get', 'want', 'man', 'canoeing', 'enjoy', 'feet', 'two', '6', 'grandkids', 'share', 'son', 'wife', 'separted', 'temp', 'stayin', 'nt', 'much', 'short', 'camping', 'someone', 'simple'}",simpl man two son one live temp 6 grandkid love much love outdoor camp cano outdoor activ want share life someon enjoy togeth life short game seriou look someon share life son stayin get feet separt wife wo nt long,"{'separt', 'long', 'life', 'look', 'seriou', 'wo', 'togeth', 'someon', 'love', 'one', 'game', 'get', 'want', 'man', 'simpl', 'enjoy', 'grandkid', 'feet', 'live', 'two', '6', 'share', 'cano', 'son', 'wife', 'temp', 'camp', 'activ', 'stayin', 'nt', 'much', 'short', 'outdoor'}"
frandsen,0.000761888118293575,0.00013008891649552923,0.0004459885173945521,42690.0,42691.0,42691.0,0.0,49.0,male,"aarhus, denmark",white,self-employed with own company,single,no children,atheist,straight,male,"i'm looking for love, the love i have to grow old with , the princess of my life , the mother of my future children , my soulmate , my only beloved .....",41-50,"{'m', 'grow', 'old', 'looking', 'princess', 'future', 'life', 'soulmate', 'children', 'love', 'mother', 'beloved'}",m look love love grow old princess life mother futur children soulmat belov,"{'m', 'futur', 'soulmat', 'grow', 'old', 'belov', 'princess', 'look', 'life', 'children', 'love', 'mother'}"
stardust64,0.0006975671704339614,0.00019155294500663073,0.0004445600577202961,9145.0,9145.0,9145.0,0.0,59.0,female,"san salvador, el salvador",hispanic,retired,divorced,more than 2 living elsewhere,christian,straight,female,"i'm a divorced woman with all children grown up, ready for a real chance to love",51-60,"{'m', 'grown', 'chance', 'real', 'divorced', 'love', 'children', 'ready', 'woman'}",m divorc woman children grown readi real chanc love,"{'m', 'chanc', 'grown', 'real', 'readi', 'children', 'love', 'woman', 'divorc'}"
carlosn23,0.00025192949766783356,0.0006291651335779857,0.00044054731562290965,33903.0,33904.0,33904.0,0.0,45.0,male,"talcahuano, region del bio bio, chile",hispanic,,married,1-2 living with me,christian,straight,male,,41-50,,,
juandy,0.0006321602424828754,0.00024458535575834343,0.0004383727991206094,45601.0,45602.0,45602.0,0.0,42.0,male,"c.a, santiago de los caballeros 51000, republica dominicana",hispanic,voluntario ong,single,no children,spiritual,straight,male,,41-50,,,
